Unnamed: 0,CITY,COUNTY,LAT,LONG,NAME_OTHER,FACILITY_TYPE,DESCRIPTION,FAC_STATUS,drcm_Longitude,drcm_Latitude,drc_Longitude,drc_Latitude,prisch_Longitude,prisch_Latitude,LONGLAT,pubsch_Longitude,pubsch_Latitude,emf_Longitude,emf_Latitude,eoc_Longitude,eoc_Latitude,ra_Longitude,ra_Latitude
1428,NAPLES ,COLLIER,,,,PRIVATE SCHOOL,,,,,,,-81.75418833,26.29225194,,,,,,,,,
1429,NAPLES ,COLLIER,,,,PRIVATE SCHOOL,,,,,,,-81.72479809,26.13674556,,,,,,,,,
1430,NAPLES ,COLLIER,,,,PRIVATE SCHOOL,,,,,,,-81.75413424,26.21594305,,,,,,,,,
1431,NAPLES,COLLIER,,,,PRIVATE SCHOOL,,,,,,,-81.75566749,26.23058118,,,,,,,,,
1432,NAPLES,COLLIER,,,,PRIVATE SCHOOL,,,,,,,-81.7119957,26.1792386,,,,,,,,,
1433,NAPLES,COLLIER,,,,PRIVATE SCHOOL,,,,,,,-81.80754952,26.2106164,,,,,,,,,
1434,NAPLES,COLLIER,,,,PRIVATE SCHOOL,,,,,,,-81.79936437,26.13749262,,,,,,,,,
1435,NAPLES,COLLIER,,,,PRIVATE SCHOOL,,,,,,,-81.80187101,26.1749573,,,,,,,,,
1436,LAKE CITY ,COLUMBIA,,,,PRIVATE SCHOOL,,,,,,,-82.64162823,30.16171428,,,,,,,,,
1437,LAKE CITY ,COLUMBIA,,,,PRIVATE SCHOOL,,,,,,,-82.70308723,30.18267286,,,,,,,,,
1438,LAKE CITY,COLUMBIA,,,,PRIVATE SCHOOL,,,,,,,-82.64002785,30.16269163,,,,,,,,,
1439,ARCADIA ,DESOTO,,,,PRIVATE SCHOOL,,,,,,,-81.76720987,27.19777602,,,,,,,,,
1440,LAKE SUZY ,DESOTO,,,,PRIVATE SCHOOL,,,,,,,-82.04196008,27.04244001,,,,,,,,,
1441,ARCADIA,DESOTO,,,,PRIVATE SCHOOL,,,,,,,-81.98893037,27.11136818,,,,,,,,,
1442,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.70253095,30.27347063,,,,,,,,,
1443,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.54970889,30.22222274,,,,,,,,,
1444,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.67925939,30.35110195,,,,,,,,,
1445,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.75666402,30.23969451,,,,,,,,,
1446,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.54861327,30.32542331,,,,,,,,,
1447,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.54099902,30.32553691,,,,,,,,,
1448,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.59733547,30.29016292,,,,,,,,,
1449,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.69195003,30.3121008,,,,,,,,,
1450,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.74698163,30.30714616,,,,,,,,,
1451,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.62380671,30.24819212,,,,,,,,,
1452,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.57133973,30.32820046,,,,,,,,,
1453,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.72381991,30.28626771,,,,,,,,,
1454,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.62148294,30.16020164,,,,,,,,,
1455,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.74773557,30.26090557,,,,,,,,,
1456,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.75242145,30.29728731,,,,,,,,,
1457,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.51459905,30.3714061,,,,,,,,,
1458,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.73694487,30.20979007,,,,,,,,,
1459,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.55562446,30.21829406,,,,,,,,,
1460,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.45780138,30.29793035,,,,,,,,,
1461,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.67963106,30.31651634,,,,,,,,,
1462,JACKSONVILLE,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.7599353,30.34268493,,,,,,,,,
1463,JACKSONVILLE ,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.59169393,30.33430962,,,,,,,,,
1464,JACKSONVILLE ,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.64015272,30.30782016,,,,,,,,,
1465,JACKSONVILLE ,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.60698709,30.17651554,,,,,,,,,
1466,JACKSONVILLE ,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.7105601,30.32260909,,,,,,,,,
1467,JACKSONVILLE ,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.76731214,30.42642995,,,,,,,,,
1468,JACKSONVILLE ,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.57485665,30.33469968,,,,,,,,,
1469,JACKSONVILLE ,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.64066317,30.30964033,,,,,,,,,
1470,JACKSONVILLE ,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.60007569,30.27766566,,,,,,,,,
1471,JACKSONVILLE ,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.62166864,30.31051319,,,,,,,,,
1472,JACKSONVILLE ,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.60311732,30.36605856,,,,,,,,,
1473,JACKSONVILLE ,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.68736938,30.4042704,,,,,,,,,
1474,JACKSONVILLE ,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.72633085,30.39830466,,,,,,,,,
1475,JACKSONVILLE ,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.43945793,30.29225566,,,,,,,,,
1476,JACKSONVILLE ,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.62896804,30.24275796,,,,,,,,,
1477,JACKSONVILLE ,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.65753632,30.37336887,,,,,,,,,
1478,JACKSONVILLE ,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.83744239,30.25187491,,,,,,,,,
1479,JACKSONVILLE BEACH ,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.39664758,30.29952874,,,,,,,,,
1480,JACKSONVILLE BEACH ,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.39015959,30.27536398,,,,,,,,,
1481,JACKSONVILLE BEACH,DUVAL,,,,PRIVATE SCHOOL,,,,,,,-81.39428536,30.29014712,,,,,,,,,
1482,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.16784331,30.49900287,,,,,,,,,
1483,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.20525637,30.43151805,,,,,,,,,
1484,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.29631817,30.43210019,,,,,,,,,
1485,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.22262566,30.52260026,,,,,,,,,
1486,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.21248112,30.4562953,,,,,,,,,
1487,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.19552708,30.49476467,,,,,,,,,
1488,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.25370702,30.41136006,,,,,,,,,
1489,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.25389158,30.42883869,,,,,,,,,
1490,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.25714847,30.47430773,,,,,,,,,
1491,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.21599086,30.42012575,,,,,,,,,
1492,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.27001957,30.4065616,,,,,,,,,
1493,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.18364379,30.51001186,,,,,,,,,
1494,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.26816317,30.40918238,,,,,,,,,
1495,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.19782268,30.51648281,,,,,,,,,
1496,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.20129602,30.42657609,,,,,,,,,
1497,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.27356953,30.38594032,,,,,,,,,
1498,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.20237863,30.43147104,,,,,,,,,
1499,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.22403438,30.41114254,,,,,,,,,
1500,PENSACOLA,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.2431572,30.45234338,,,,,,,,,
1501,PENSACOLA ,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.3242836,30.51377948,,,,,,,,,
1502,PENSACOLA ,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.32844861,30.40405031,,,,,,,,,
1503,PENSACOLA ,ESCAMBIA,,,,PRIVATE SCHOOL,,,,,,,-87.25081917,30.43752771,,,,,,,,,
1504,PALM COAST ,FLAGLER,,,,PRIVATE SCHOOL,,,,,,,-81.24208333,29.55076347,,,,,,,,,
1505,FLAGLER BEACH ,FLAGLER,,,,PRIVATE SCHOOL,,,,,,,-81.15383805,29.49611689,,,,,,,,,
1506,PALM COAST,FLAGLER,,,,PRIVATE SCHOOL,,,,,,,-81.23328091,29.54735944,,,,,,,,,
1507,APALACHICOLA,FRANKLIN,,,,PRIVATE SCHOOL,,,,,,,-84.98751245,29.72271037,,,,,,,,,
1508,HAVANA ,GADSDEN,,,,PRIVATE SCHOOL,,,,,,,-84.47141846,30.6073635,,,,,,,,,
1509,QUINCY,GADSDEN,,,,PRIVATE SCHOOL,,,,,,,-84.69963888,30.65338054,,,,,,,,,
1510,PORT SAINT JOE,GULF,,,,PRIVATE SCHOOL,,,,,,,-85.28977491,29.79987941,,,,,,,,,
1511,WEWHITCHKA,GULF,,,,PRIVATE SCHOOL,,,,,,,-85.19974491,30.10565342,,,,,,,,,
1512,BOWLING GREEN,HARDEE,,,,PRIVATE SCHOOL,,,,,,,-81.82422466,27.63871945,,,,,,,,,
1513,WAUCHULA,HARDEE,,,,PRIVATE SCHOOL,,,,,,,-81.91147626,27.5246522,,,,,,,,,
1514,CLEWISTON,HENDRY,,,,PRIVATE SCHOOL,,,,,,,-80.940768,26.75882453,,,,,,,,,
1515,SPRING HILL,HERNANDO,,,,PRIVATE SCHOOL,,,,,,,-82.63722472,28.46018822,,,,,,,,,
1516,SPRING HILL,HERNANDO,,,,PRIVATE SCHOOL,,,,,,,-82.63614076,28.4478836,,,,,,,,,
1517,SPRING HILL,HERNANDO,,,,PRIVATE SCHOOL,,,,,,,-82.52548035,28.48910121,,,,,,,,,
1518,BROOKSVILLE,HERNANDO,,,,PRIVATE SCHOOL,,,,,,,-82.37409814,28.53427588,,,,,,,,,
1519,LAKE PLACID,HIGHLANDS,,,,PRIVATE SCHOOL,,,,,,,-81.31339744,27.28392955,,,,,,,,,
1520,SEBRING,HIGHLANDS,,,,PRIVATE SCHOOL,,,,,,,-81.43785842,27.48531046,,,,,,,,,
1521,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.50594806,28.0467755,,,,,,,,,
1522,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.3674685,28.0550057,,,,,,,,,
1523,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.5249023,28.05121532,,,,,,,,,
1524,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.47809603,28.06781303,,,,,,,,,
1525,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.49275272,27.91487068,,,,,,,,,
1526,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.55086896,27.98240838,,,,,,,,,
1527,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.46506238,27.96761638,,,,,,,,,
1528,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.35971632,27.90023284,,,,,,,,,
1529,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.5641125,27.99003303,,,,,,,,,
1530,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.52464666,27.96057913,,,,,,,,,
1531,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.46794717,27.95113813,,,,,,,,,
1532,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.49972732,27.98692199,,,,,,,,,
1533,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.55017873,28.05810484,,,,,,,,,
1534,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.47921392,27.99220609,,,,,,,,,
1535,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.50005395,28.05652614,,,,,,,,,
1536,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.47573635,27.98553058,,,,,,,,,
1537,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.47441286,28.09100255,,,,,,,,,
1538,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.45700628,28.04114786,,,,,,,,,
1539,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.50648429,27.93507694,,,,,,,,,
1540,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.5735391,27.99572554,,,,,,,,,
1541,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.41055935,28.03041482,,,,,,,,,
1542,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.36924681,27.92503027,,,,,,,,,
1543,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.48355537,27.98912326,,,,,,,,,
1544,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.38452892,27.98829721,,,,,,,,,
1545,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.45906587,27.98951736,,,,,,,,,
1547,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.33017173,27.965399,,,,,,,,,
1548,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.43753787,27.99823005,,,,,,,,,
1549,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.57270975,28.07905716,,,,,,,,,
1550,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.45991286,27.96388667,,,,,,,,,
1551,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.50016172,27.99394608,,,,,,,,,
1552,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.4735547,27.98234646,,,,,,,,,
1553,TAMPA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.40640502,28.0041834,,,,,,,,,
1554,THONOTOSASSA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.28435886,28.13725809,,,,,,,,,
1555,THONOTOSASSA,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.28924636,28.13495503,,,,,,,,,
1556,TEMPLE TERRACE,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.38872819,28.04432564,,,,,,,,,
1557,RIVERVIEW,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.31796318,27.89758466,,,,,,,,,
1558,LUTZ,HILLSBOROUGH,,,,PRIVATE SCHOOL,,,,,,,-82.4504628,28.10393803,,,,,,,,,
1559,VERO BEACH,INDIAN RIVER,,,,PRIVATE SCHOOL,,,,,,,-80.33809798,27.59995641,,,,,,,,,
1560,VERO BEACH,INDIAN RIVER,,,,PRIVATE SCHOOL,,,,,,,-80.39091229,27.62946528,,,,,,,,,
1561,VERO BEACH,INDIAN RIVER,,,,PRIVATE SCHOOL,,,,,,,-80.63165659,27.61742872,,,,,,,,,
1562,SEBASTIAN,INDIAN RIVER,,,,PRIVATE SCHOOL,,,,,,,-80.50183872,27.79235357,,,,,,,,,
1563,MARIANNA,JACKSON,,,,PRIVATE SCHOOL,,,,,,,-85.20449783,30.79696895,,,,,,,,,
1564,MARIANNA,JACKSON,,,,PRIVATE SCHOOL,,,,,,,-85.23043531,30.76980892,,,,,,,,,
1565,MONTICELLO,JEFFERSON,,,,PRIVATE SCHOOL,,,,,,,-83.75867451,30.4825564,,,,,,,,,
1566,LEESBURG,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.88596137,28.82006054,,,,,,,,,
1567,LEESBURG,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.90758857,28.79972474,,,,,,,,,
1568,LEESBURG,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.88552834,28.81368663,,,,,,,,,
1569,LEESBURG,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.88049777,28.81565126,,,,,,,,,
1570,LEESBURG,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.76855928,28.84654011,,,,,,,,,
1571,LEESBURG,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.88272103,28.81621731,,,,,,,,,
1572,TAVARES,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.74781393,28.7724974,,,,,,,,,
1573,TAVARES,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.75326218,28.76794544,,,,,,,,,
1574,TAVARES,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.70292603,28.81912695,,,,,,,,,
1575,TAVARES,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.71238034,28.82021779,,,,,,,,,
1576,MT DORA,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.65230902,28.8234278,,,,,,,,,
1577,MT DORA,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.66683459,28.7584211,,,,,,,,,
1578,MT DORA,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.63791864,28.79336872,,,,,,,,,
1579,MT DORA,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.63692363,28.80190443,,,,,,,,,
1580,MT DORA,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.64628854,28.80949332,,,,,,,,,
1581,MOUNT DORA,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.64458977,28.81210045,,,,,,,,,
1582,MOUNT DORA,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.64780021,28.80880091,,,,,,,,,
1583,MOUNT DORA,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.63333566,28.81675196,,,,,,,,,
1584,EUSTIS,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.68584575,28.84942422,,,,,,,,,
1585,EUSTIS,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.6842379,28.86283789,,,,,,,,,
1586,EUSTIS,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.64599195,28.8547825,,,,,,,,,
1587,EUSTIS,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.41079211,28.91353895,,,,,,,,,
1588,EUSTIS,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.68168679,28.82775987,,,,,,,,,
1589,HOWEY IN THE HILLS,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.7788516,28.71647415,,,,,,,,,
1590,CLERMONT,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.8384409,28.54239615,,,,,,,,,
1591,CLERMONT,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.73768632,28.53428609,,,,,,,,,
1592,CLERMONT,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.74076116,28.56434909,,,,,,,,,
1593,CLERMONT,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.73929695,28.56441125,,,,,,,,,
1594,MONTVERDE,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.68967894,28.57030899,,,,,,,,,
1595,MONTVERDE,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.74660886,28.57415117,,,,,,,,,
1596,MONTVERDE,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.674147,28.59763985,,,,,,,,,
1597,SORRENTO,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.53095776,28.83619464,,,,,,,,,
1598,FRUITLAND PARK,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.87640459,28.88535772,,,,,,,,,
1599,FRUITLAND PARK,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.91712477,28.87658642,,,,,,,,,
1600,GROVELAND,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.89113318,28.57829082,,,,,,,,,
1601,GROVELAND,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.85828151,28.57414933,,,,,,,,,
1602,UMATILLA,LAKE,,,,PRIVATE SCHOOL,,,,,,,-81.63265591,28.90428239,,,,,,,,,
1603,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.89393488,26.54671377,,,,,,,,,
1604,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.84633331,26.65912137,,,,,,,,,
1605,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.85402526,26.64044594,,,,,,,,,
1606,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.86161146,26.57486519,,,,,,,,,
1607,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.88998919,26.55519102,,,,,,,,,
1608,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.85409862,26.60373456,,,,,,,,,
1609,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.87316164,26.58433413,,,,,,,,,
1610,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.86919734,26.63577486,,,,,,,,,
1611,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.88561761,26.58863617,,,,,,,,,
1612,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.88983493,26.59404467,,,,,,,,,
1613,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.87113017,26.63910191,,,,,,,,,
1614,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.85710842,26.50056713,,,,,,,,,
1615,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.8825472,26.59642295,,,,,,,,,
1616,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.87456491,26.56785185,,,,,,,,,
1617,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.84784849,26.64069412,,,,,,,,,
1618,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.7690682,26.69804989,,,,,,,,,
1619,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.73846261,26.57595394,,,,,,,,,
1620,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.74761316,26.67481779,,,,,,,,,
1621,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.8898451,26.59473065,,,,,,,,,
1622,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.83604714,26.59583232,,,,,,,,,
1623,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.90738715,26.54431615,,,,,,,,,
1624,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.86612934,26.61114282,,,,,,,,,
1625,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.83990594,26.55996893,,,,,,,,,
1626,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.83419712,26.63042039,,,,,,,,,
1627,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.74561802,26.70317126,,,,,,,,,
1628,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.83445226,26.63951097,,,,,,,,,
1629,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.87454322,26.5859875,,,,,,,,,
1630,FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.84768824,26.5501976,,,,,,,,,
1631,BONITA SPRINGS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.78285571,26.34837971,,,,,,,,,
1632,BONITA SPRINGS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.79772235,26.33202113,,,,,,,,,
1633,BONITA SPRINGS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.77416326,26.32273457,,,,,,,,,
1634,BONITA SPRINGS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.80459446,26.35196993,,,,,,,,,
1635,CAPE CORAL,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.99138402,26.59734377,,,,,,,,,
1636,CAPE CORAL,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.95479532,26.56109418,,,,,,,,,
1637,CAPE CORAL,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.9737194,26.63691451,,,,,,,,,
1638,CAPE CORAL,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.98893789,26.57856648,,,,,,,,,
1639,CAPE CORAL,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.98795729,26.63795831,,,,,,,,,
1640,CAPE CORAL,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.94214619,26.570449,,,,,,,,,
1641,CAPE CORAL,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.91355395,26.68143989,,,,,,,,,
1642,CAPE CORAL,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.9817893,26.58595097,,,,,,,,,
1643,CAPE CORAL,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.94055979,26.59701469,,,,,,,,,
1644,CAPE CORAL,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.94941566,26.56399486,,,,,,,,,
1645,CAPE CORAL,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.94192568,26.6025706,,,,,,,,,
1646,CAPE CORAL,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.97702941,26.62744153,,,,,,,,,
1647,LEHIGH ACRES,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.71690116,26.63982139,,,,,,,,,
1648,NORTH FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.84033412,26.70985491,,,,,,,,,
1649,NORTH FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.80195322,26.71425706,,,,,,,,,
1650,NORTH FORT MYERS,LEE,,,,PRIVATE SCHOOL,,,,,,,-81.91495156,26.65220204,,,,,,,,,
