CITY,COUNTY,LAT,LONG,NAME_OTHER,FACILITY_TYPE,DESCRIPTION,FAC_STATUS,drcm_Longitude,drcm_Latitude,drc_Longitude,drc_Latitude,prisch_Longitude,prisch_Latitude,LONGLAT,pubsch_Longitude,pubsch_Latitude,emf_Longitude,emf_Latitude,eoc_Longitude,eoc_Latitude,ra_Longitude,ra_Latitude
ORMOND BEACH,VOLUSIA,29.239425,-81.22200555,CROSS CREEK FARMS STOLPORT,AIRPORT,DAVID HIGGS 274 WOODHAVEN CIR W ORMOND BEACH FL 32174,Active,,,,,,,,,,,,,,,
ORMOND BEACH,VOLUSIA,29.30114444,-81.11380833,ORMOND BEACH MUNICIPAL AIRPORT,AIRPORT,AIRPORT ROAD  ORMOND BEACH FL 32174,Active,,,,,,,,,,,,,,,
EDGEWATER,VOLUSIA,28.88804444,-80.86644166,HIGHLANDER AIRPORT,AIRPORT,MARK HAYNES 520 HIGHLANDER DRIVE  OAK HILL FL 32759,Active,,,,,,,,,,,,,,,
EDGEWATER,VOLUSIA,28.978875,-80.92505277,MASSEY RANCH AIRPARK,AIRPORT,635 AIRPARK ROAD  EDGEWATER FL 32132,Active,,,,,,,,,,,,,,,
OAK HILL,VOLUSIA,28.85721111,-80.907,BLUE RIDGE FLIGHTPARK,AIRPORT,"AURIGEMA, ANDREW 1685 MAYTOWN ROAD  OAK HILL FL 32759",Active,,,,,,,,,,,,,,,
PORT ORANGE,VOLUSIA,29.07803888,-81.0445,SPRUCE CREEK FLY-IN AIRPORT,AIRPORT,"CUNNEEN, DICK 212-1 CESSNA BLVD  PORT ORANGE FL 32128",Active,,,,,,,,,,,,,,,
DEFUNIAK SPRINGS,WALTON,30.84472222,-86.28138888,THE UNICORN PLACE AIRPORT,AIRPORT,"SOHN, RICHARD 8029 HIGHWAY 1087  NEW HARMONY FL 32433",Active,,,,,,,,,,,,,,,
DEFUNIAK SPRINGS,WALTON,30.7363,-86.21299999,CEDAR LANE AIRPORT,AIRPORT,"ESTATE OF ROBERTS, MAURICE W. 460 BOY SCOUT ROAD  DEFUNIAK SPRINGS FL 32435",Active,,,,,,,,,,,,,,,
DEFUNIAK SPRINGS,WALTON,30.65213611,-86.10938333,JOY FARMS AIRPORT,AIRPORT,"GOFF, BRIAN 4979 SOUTH HIGHWAY 331  DEFUNIAK SPRINGS FL 32435",Active,,,,,,,,,,,,,,,
DEFUNIAK SPRINGS,WALTON,30.7313,-86.15377777,DEFUNIAK SPRINGS AIRPORT,AIRPORT,1931 U.S. HIGHWAY 90 WEST  DEFUNIAK SPRINGS FL 32435-0685,Active,,,,,,,,,,,,,,,
 ,WALTON,30.82,-86.34444444,BREEZY KNOLL AIRPORT,AIRPORT,"WATERMAN, VICTORIA 1359 LONG ROAD  DEFUNIAK SPRINGS FL 32433",Active,,,,,,,,,,,,,,,
 ,WALTON,30.91888888,-86.21833333,SKYDIVE LIVE AIRPORT,AIRPORT,"NIPPER, MELANIE 5138 COUNTY HIGHWAY 0605  DE FUNIAK SPRINGS FL 32433",active,,,,,,,,,,,,,,,
 ,WALTON,30.49641666,-86.09383333,DUGGER FIELD,AIRPORT,"BOGLE, MELODY 259 SAN JUAN AVENUE  SEAGROVE BEACH FL 32459",Active,,,,,,,,,,,,,,,
 ,WALTON,30.64277777,-86.11833333,CUCHENS AIRPORT,AIRPORT,219 SUCHENS LANE  DEFUNIAK SPRINGS FL 32435,Active,,,,,,,,,,,,,,,
CHIPLEY,WASHINGTON,30.45111111,-85.67722222,CRYSTAL VILLAGE AIRPORT,AIRPORT,"THOMAS, TERRY 5131 PANTHER TRAIL  CHIPLEY FL 32428",Active,,,,,,,,,,,,,,,
BONIFAY,WASHINGTON,30.77916666,-85.76861111,GARNER FIELD,AIRPORT,3849 HIGHWAY 90  BONIFAY FL 32425,Active,,,,,,,,,,,,,,,
VERNON,WASHINGTON,30.49027777,-85.83944444,REDHEAD AIRPORT,AIRPORT,"GARRETT, TOMMY 5801 HIGHWAY 79  VERNON FL 32462",Active,,,,,,,,,,,,,,,
 ,WASHINGTON,30.61722222,-85.70555555,AERO VILLA AIRPORT,AIRPORT,"LAND, LARRY P.O. BOX 365  VERNON FL 32462",Active,,,,,,,,,,,,,,,
AVON PARK,HIGHLANDS,27.59114444,-81.52785277,AVON PARK EXECUTIVE AIRPORT,AIRPORT,1545 STATE ROAD 64 WEST  AVON PARK FL 33825,Active,,,,,,,,,,,,,,,
HOLLYWOOD,BROWARD,26.00142416,-80.24052055,NORTH PERRY AIRPORT,AIRPORT,101 SOUTH WEST 77TH WAY  PEMBROKE PINES FL 33023,Active,,,,,,,,,,,,,,,
NEWBERRY,GILCHRIST,29.72013888,-82.66395833,OAK TREE LANDING AIRPORT,AIRPORT,1400 SOUTHEAST 80TH AVENUE  NEWBERRY FL 32669,Active,,,,,,,,,,,,,,,
MOUNT DORA,LAKE,28.84335111,-81.63002416,MID FLORIDA AIR SERVICE AIRPORT,AIRPORT,19708 EUSTIS AIRPORT ROAD  EUSTIS FL 32736,Active,,,,,,,,,,,,,,,
LUTZ,PASCO,28.22128055,-82.37454722,TAMPA NORTH AERO PARK,AIRPORT,4241 BIRDSONG BOULEVARD  LUTZ FL 33559,Active,,,,,,,,,,,,,,,
CRYSTAL RIVER,CITRUS,28.86727777,-82.57130555,CRYSTAL RIVER AIRPORT,AIRPORT,718 NORTH LINDBERGH DRIVE  CRYSTAL RIVER FL 34429,Active,,,,,,,,,,,,,,,
OPA LOCKA,MIAMI-DADE,25.907025,-80.27838888,OPA-LOCKA EXECUTIVE AIRPORT,AIRPORT,14201 NORTHWEST  LEJEUNE ROAD  OPA-LOCKA FL 33054,Active,,,,,,,,,,,,,,,
PLANT CITY,HILLSBOROUGH,28.00021666,-82.16424166,PLANT CITY AIRPORT,AIRPORT,4007 AIRPORT ROAD  PLANT CITY FL 33563,Active,,,,,,,,,,,,,,,
SANFORD,SEMINOLE,28.77764,-81.23748944,ORLANDO SANFORD INTERNATIONAL AIRPORT,AIRPORT,1200 RED CLEVELAND BOULEVARD  SANFORD FL 32773-6844,Active,,,,,,,,,,,,,,,
BONIFAY,HOLMES,30.84577777,-85.60138888,TRI-COUNTY AIRPORT,AIRPORT,1983 AIRPORT ROAD  BONIFAY FL 32425,Active,,,,,,,,,,,,,,,
HILLIARD,NASSAU,30.68801111,-81.90594444,HILLIARD AIRPARK,AIRPORT,37776 EAST WOOD ROAD  HILLIARD FL 32046,Active,,,,,,,,,,,,,,,
NEW SMYRNA BEACH,VOLUSIA,29.05569444,-80.94890833,NEW SMYRNA BEACH MUNICIPAL AIRPORT,AIRPORT,600 SKYLINE DRIVE  NEW SMYRNA FL 32168,Active,,,,,,,,,,,,,,,
EASTPOINT,FRANKLIN,29.64458402,-84.91559894,ST GEORGE ISLAND AIRPORT,AIRPORT,1501 LONG POINT ROAD  ST. GOERGE ISLAND FL 32328,Active,,,,,,,,,,,,,,,
PALATKA,PUTNAM,29.65858055,-81.68869444,PALATKA MUNICIPAL-LT. KAY LARKIN FIELD,AIRPORT,4015 REID STREET  PALATKA FL 32177,Active,,,,,,,,,,,,,,,
QUINCY,GADSDEN,30.59786111,-84.55743888,QUINCY MUNICIPAL AIRPORT,AIRPORT,1300 AIRPORT DRIVE  QUINCY FL 32351,Active,,,,,,,,,,,,,,,
BELLE GLADE,PALM BEACH,26.69830555,-80.66080555,BELLE GLADE STATE MUNICIPAL AIRPORT,AIRPORT,250 GATOR BOULEVARD  BELLE GLADE FL 33430,Active,,,,,,,,,,,,,,,
MERRITT ISLAND,BREVARD,28.34158888,-80.68549722,MERRITT ISLAND AIRPORT,AIRPORT,900 AIRPORT RD.  MERRITT ISLAND FL 32952,Active,,,,,,,,,,,,,,,
MARATHON,MONROE,24.72618277,-81.05136777,THE FLORIDA KEYS MARATHON AIRPORT,AIRPORT,"9400 OVERSEAS HIGHWAY, SUITE 200  MARATHON FL 33050",Active,,,,,,,,,,,,,,,
SARASOTA,MANATEE,27.39545277,-82.55438611,SARASOTA / BRADENTON INTERNATIONAL AIRPORT,AIRPORT,6000 AIRPORT CIRCLE  SARASOTA FL 34243-2105,Active,,,,,,,,,,,,,,,
WINTER HAVEN,POLK,28.06291944,-81.75331666,WINTER HAVEN'S GILBERT AIRPORT,AIRPORT,2073 HIGHWAY 92 WEST  WINTER HAVEN FL 33881,Active,,,,,,,,,,,,,,,
SEBASTIAN,INDIAN RIVER,27.81280277,-80.49560833,SEBASTIAN MUNICIPAL AIRPORT,AIRPORT,202 AIRPORT DRIVE EAST  SEBASTIAN FL 32958,Active,,,,,,,,,,,,,,,
BLOUNTSTOWN,CALHOUN,30.48822222,-85.11381944,CALHOUN COUNTY AIRPORT,AIRPORT,16701 NORTHWEST AGRIPARK ROAD  ALTHA FL 32421,Active,,,,,,,,,,,,,,,
LAKE WALES,POLK,27.89380277,-81.62041111,LAKE WALES MUNICIPAL AIRPORT,AIRPORT,450 AIRPORT ROAD SOUTH  LAKE WALES FL 33859-1320,Active,,,,,,,,,,,,,,,
LAKE WALES,POLK,27.78224999,-81.20534444,RIVER RANCH RESORT AIRPORT,AIRPORT,3600 RIVER RANCH BOULEVARD  RIVER RANCH FL 33867,Active,,,,,,,,,,,,,,,
CLEARWATER,PINELLAS,27.97668638,-82.75874027,CLEARWATER AIR PARK,AIRPORT,1000 NORTH HERCULES AVENUE  CLEARWATER FL 33765,Active,,,,,,,,,,,,,,,
CLEARWATER,PINELLAS,27.91076333,-82.68743944,ST PETE-CLEARWATER INTERNATIONAL AIRPORT,AIRPORT,14700 TERMINAL BOULEVARD AIRPORT DIRECTOR'S OFFICE - SUITE 221 CLEARWATER FL 33762,Active,,,,,,,,,,,,,,,
SEBRING,HIGHLANDS,27.45640277,-81.34239999,SEBRING REGIONAL AIRPORT,AIRPORT,128 AUTHORITY LANE  SEBRING FL 33870,Active,,,,,,,,,,,,,,,
DAYTONA BEACH,VOLUSIA,29.17991666,-81.05805555,DAYTONA BEACH INTERNATIONAL AIRPORT,AIRPORT,"700 CATALINA DRIVE, SUITE 300  DAYTONA BEACH FL 32114",Active,,,,,,,,,,,,,,,
DESTIN,OKALOOSA,30.40005638,-86.47147416,DESTIN - FT WALTON BEACH AIRPORT,AIRPORT,1001 AIRPORT ROAD  DESTIN FL 32541,Active,,,,,,,,,,,,,,,
MALABAR,BREVARD,27.96086111,-80.55833333,VALKARIA AIRPORT,AIRPORT,2865 GREENBROOKE STREET  VALKARIA FL 32950,Active,,,,,,,,,,,,,,,
TITUSVILLE,BREVARD,28.51479944,-80.7992275,SPACE COAST REGIONAL AIRPORT,AIRPORT,355 GOLDEN KNIGHTS BOULEVARD  TITUSVILLE FL 32780,Active,,,,,,,,,,,,,,,
TITUSVILLE,BREVARD,28.62255166,-80.83540972,ARTHUR DUNN AIR PARK,AIRPORT,476 NORTH WILLIAMS AVENUE  TITUSVILLE FL 32780,Active,,,,,,,,,,,,,,,
MELBOURNE,BREVARD,28.10274999,-80.64580555,MELBOURNE INTERNATIONAL AIRPORT,AIRPORT,ONE AIR TERMINAL PARKWAY SUITE 220 MELBOURNE FL 32901-1888,Active,,,,,,,,,,,,,,,
LAKE WORTH,PALM BEACH,26.59305555,-80.08506461,PALM BEACH COUNTY PARK AIRPORT,AIRPORT,2633 LANTANA RD  LANTANA FL 33462,Active,,,,,,,,,,,,,,,
FERNANDINA BEACH,NASSAU,30.60968333,-81.46064722,FERNANDINA BEACH MUNICIPAL AIRPORT,AIRPORT,700 AIRPORT ROAD  FERNANDINA BEACH FL 32034,Active,,,,,,,,,,,,,,,
APALACHICOLA,FRANKLIN,29.72758055,-85.02740555,APALACHIACOLA REGIONAL - CLEVE RANDOLPH FIELD,AIRPORT,8 AIRPORT ROAD  APALACHICOLA FL 32320,Active,,,,,,,,,,,,,,,
APOPKA,ORANGE,28.70747444,-81.58196444,ORLANDO APOPKA AIRPORT,AIRPORT,1321 APOPKA AIRPORT ROAD  APOPKA FL 32712,Active,,,,,,,,,,,,,,,
IMMOKALEE,COLLIER,26.43316666,-81.40102777,IMMOKALEE REGIONAL AIRPORT,AIRPORT,165 AIRPORT BOULEVARD  IMMOKALEE FL 34142,Active,,,,,,,,,,,,,,,
VENICE,SARASOTA,27.07161111,-82.44034722,VENICE MUNICIPAL AIRPORT,AIRPORT,150 EAST AIRPORT AVENUE  VENICE FL 34285,Active,,,,,,,,,,,,,,,
FORT LAUDERDALE,BROWARD,26.07258333,-80.15274999,FT LAUDERDALE/HOLLYWOOD INTERNATIONAL AIRPORT,AIRPORT,2200 SOUTHWEST 45TH STREET  DANIA BEACH FL 33312,Active,,,,,,,,,,,,,,,
FORT LAUDERDALE,BROWARD,26.19727777,-80.17071111,FT LAUDERDALE EXECUTIVE AIRPORT,AIRPORT,6000 NORTHWEST 21ST AVENUE  FORT LAUDERDALE FL 33309,Active,,,,,,,,,,,,,,,
STUART,MARTIN,27.18169999,-80.22129166,WITHAM FIELD,AIRPORT,2011 SOUTHEAST AIRPORT ROAD  STUART FL 34996,Active,,,,,,,,,,,,,,,
PALM COAST,FLAGLER,29.46738888,-81.20633333,FLAGLER COUNTY AIRPORT,AIRPORT,201 AIRPORT ROAD  PALM COAST FL 32164,Active,,,,,,,,,,,,,,,
MULBERRY,POLK,27.93335805,-82.04397388,SOUTH LAKELAND AIRPORT,AIRPORT,7500 CORONET ROAD  MULBERRY FL 33860-8307,Active,,,,,,,,,,,,,,,
SAINT PETERSBURG,PINELLAS,27.76511111,-82.62697222,ALBERT WHITTED AIRPORT,AIRPORT,107 8TH AVENUE SOUTHEAST  SAINT PETERSBURG FL 33701,Active,,,,,,,,,,,,,,,
PAHOKEE,PALM BEACH,26.78583888,-80.69344722,PALM BEACH COUNTY GLADES AIRPORT,AIRPORT,3800 STATE ROAD 715  PAHOKEE FL 33476-3029,Active,,,,,,,,,,,,,,,
ENGLEWOOD,SARASOTA,26.98978055,-82.37315,BUCHAN AIRPORT,AIRPORT,1390 OLD ENGLEWOOD ROAD  VENICE FL 34285,Active,,,,,,,,,,,,,,,
WILLISTON,LEVY,29.35416666,-82.47277777,WILLISTON MUNICIPAL AIRPORT,AIRPORT,1800 SOUTH WEST 19TH AVENUE  WILLISTON FL 32696,Active,,,,,,,,,,,,,,,
CROSS CITY,DIXIE,29.63444444,-83.10555555,CROSS CITY AIRPORT,AIRPORT,1516 AIRPORT ROAD  CROSS CITY FL 32628,Active,,,,,,,,,,,,,,,
UMATILLA,LAKE,28.922765,-81.65174111,UMATILLA MUNICIPAL AIRPORT,AIRPORT,480 EAST CASSADY DRIVE  UMATILLA FL 32784-2286,Active,,,,,,,,,,,,,,,
BOCA RATON,PALM BEACH,26.37848666,-80.10769666,BOCA RATON AIRPORT,AIRPORT,"3701 FAU BLVD., SUITE 205  BOCA RATON FL 33431",Active,,,,,,,,,,,,,,,
PORT SAINT JOE,GULF,29.75854444,-85.28908333,COSTIN AIRPORT,AIRPORT,167 CESSNA DRIVE  PORT SAINT JOE FL 32456,Active,,,,,,,,,,,,,,,
ZEPHYRHILLS,PASCO,28.22806388,-82.15591638,ZEPHYRHILLS MUNICIPAL AIRPORT,AIRPORT,39450 SOUTH AVENUE  ZEPHYRHILLS FL 33542,Active,,,,,,,,,,,,,,,
INVERNESS,CITRUS,28.80859722,-82.31648055,INVERNESS AIRPORT,AIRPORT,3528 SOUTH AIRPORT ROAD  INVERNESS FL 34450,Active,,,,,,,,,,,,,,,
SPRING HILL,PASCO,28.33028333,-82.49648333,PILOT COUNTRY AIRPORT,AIRPORT,11500 PILOT COUNTRY DRIVE  SPRING HILL FL 34610,Active,,,,,,,,,,,,,,,
BARTOW,POLK,27.94335833,-81.78344166,BARTOW MUNICIPAL AIRPORT,AIRPORT,5001 HIGHWAY 17 NORTH  BARTOW FL 33830,Active,,,,,,,,,,,,,,,
PIERSON,VOLUSIA,29.25,-81.45923611,PIERSON MUNICIPAL AIRPORT,AIRPORT,305 NORTH CENTER STREET  PIERSON FL 32180,Active,,,,,,,,,,,,,,,
SAINT AUGUSTINE,ST. JOHNS,29.95924999,-81.33975,NORTHEAST FLORIDA REGIONAL AIRPORT,AIRPORT,4796 US HIGHWAY 1 NORTH  ST. AUGUSTINE FL 32095,Active,,,,,,,,,,,,,,,
PANACEA,WAKULLA,29.98926944,-84.39584166,WAKULLA COUNTY AIRPORT,AIRPORT,30 BAY DRIVE  PANACEA FL 32346,Active,,,,,,,,,,,,,,,
POMPANO BEACH,BROWARD,26.24713888,-80.11105555,POMPANO BEACH AIRPARK,AIRPORT,1001 NORTHEAST 10TH STREET  POMPANO BEACH FL 33060,Active,,,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.50695500,27.29052100,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.44821300,29.38795100,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.48846010,27.59401180,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.56168170,27.51498620,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.50556090,27.29863600,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-80.86797560,27.15157490,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.13473010,27.00896540,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-80.93146650,26.75294600,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.83633380,27.22581000,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.43146620,27.48718360,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.53222300,27.36606970,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.35860970,24.66868970,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.03690100,27.38848700,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.48741690,27.19436700,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.43566210,26.75963210,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.84417520,27.20857240,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.08228270,26.82227160,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.71277870,26.71777350,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.63373580,26.59517050,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-80.81263000,27.25046300,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.83480610,30.56173750,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.37254290,27.29371980,,,,,,,,,,,,,
 ,,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.43795760,26.76340000,,,,,,,,,,,,,
ALACHUA,ALACHUA,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.49322052,29.79267387,,,,,,,,,,,,,
HAWTHORNE,ALACHUA,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.08679035,29.58612338,,,,,,,,,,,,,
NEWBERRY,ALACHUA,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.49477119,29.68589740,,,,,,,,,,,,,
GAINESVILLE,ALACHUA,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.27287642,29.63878247,,,,,,,,,,,,,
GAINESVILLE,ALACHUA,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.38961597,29.63582580,,,,,,,,,,,,,
ARCHER,ALACHUA,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.52496731,29.53357700,,,,,,,,,,,,,
FOUNTAIN,BAY,,,,DISASTER RECOVERY CENTER-MOBILE,,,-85.41729500,30.43903900,,,,,,,,,,,,,
PANAMA CITY,BAY,,,,DISASTER RECOVERY CENTER-MOBILE,,,-85.50861100,30.24532900,,,,,,,,,,,,,
PANAMA CITY,BAY,,,,DISASTER RECOVERY CENTER-MOBILE,,,-85.60504100,30.12967700,,,,,,,,,,,,,
PANAMA CITY,BAY,,,,DISASTER RECOVERY CENTER-MOBILE,,,-85.75032327,30.13992731,,,,,,,,,,,,,
PANAMA CITY BEACH,BAY,,,,DISASTER RECOVERY CENTER-MOBILE,,,-85.87730200,30.23087100,,,,,,,,,,,,,
STARKE,BRADFORD,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.11316747,29.93751775,,,,,,,,,,,,,
STARKE,BRADFORD,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.11382876,29.94399074,,,,,,,,,,,,,
STARKE,BRADFORD,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.10532524,29.96367305,,,,,,,,,,,,,
LAWTEY,BRADFORD,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.07185139,30.04716881,,,,,,,,,,,,,
FORT LAUDERDALE,BROWARD,,,,DISASTER RECOVERY CENTER-MOBILE,,,-80.17783300,26.10883400,,,,,,,,,,,,,
FORT LAUDERDALE,BROWARD,,,,DISASTER RECOVERY CENTER-MOBILE,,,-80.25646993,26.12138040,,,,,,,,,,,,,
POMPANO BEACH,BROWARD,,,,DISASTER RECOVERY CENTER-MOBILE,,,-80.16299303,26.27360455,,,,,,,,,,,,,
HOLLYWOOD,BROWARD,,,,DISASTER RECOVERY CENTER-MOBILE,,,-80.14306900,26.01835300,,,,,,,,,,,,,
SUNRISE,BROWARD,,,,DISASTER RECOVERY CENTER-MOBILE,,,-80.25267627,26.16881904,,,,,,,,,,,,,
DANIA,BROWARD,,,,DISASTER RECOVERY CENTER-MOBILE,,,-80.14473800,26.05163143,,,,,,,,,,,,,
ALTHA,CALHOUN,,,,DISASTER RECOVERY CENTER-MOBILE,,,-85.18364276,30.44990513,,,,,,,,,,,,,
BLOUNTSTOWN,CALHOUN,,,,DISASTER RECOVERY CENTER-MOBILE,,,-85.13881307,30.29072212,,,,,,,,,,,,,
PORT CHARLOTTE,CHARLOTTE,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.22356141,26.93257996,,,,,,,,,,,,,
PORT CHARLOTTE,CHARLOTTE,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.14680939,27.01048518,,,,,,,,,,,,,
PUNTA GORDA,CHARLOTTE,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.99920159,26.94805933,,,,,,,,,,,,,
PUNTA GORDA,CHARLOTTE,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.02180115,26.92941291,,,,,,,,,,,,,
ENGLEWOOD,CHARLOTTE,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.31394359,26.91824532,,,,,,,,,,,,,
LECANTO,CITRUS,,,,DISASTER RECOVERY CENTER-MOBILE,,,-82.48075610,28.90607174,,,,,,,,,,,,,
MIDDLEBURG,CLAY,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.76541782,30.10008381,,,,,,,,,,,,,
GREEN COVE SPRINGS,CLAY,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.74060104,29.98033550,,,,,,,,,,,,,
GREEN COVE SPRINGS,CLAY,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.64897187,29.97995603,,,,,,,,,,,,,
ORANGE PARK,CLAY,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.77443086,30.11863581,,,,,,,,,,,,,
ORANGE PARK,CLAY,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.73493818,30.18624355,,,,,,,,,,,,,
NAPLES,COLLIER,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.67432253,26.22676979,,,,,,,,,,,,,
NAPLES,COLLIER,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.78364846,26.26795356,,,,,,,,,,,,,
NAPLES,COLLIER,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.70279189,26.18423969,,,,,,,,,,,,,
NAPLES,COLLIER,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.76268507,26.10743228,,,,,,,,,,,,,
NAPLES,COLLIER,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.73493870,26.23827336,,,,,,,,,,,,,
IMMOKALEE,COLLIER,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.41942870,26.42313850,,,,,,,,,,,,,
ARCADIA,DESOTO,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.86242950,27.22056264,,,,,,,,,,,,,
ARCADIA,DESOTO,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.85667482,27.21574220,,,,,,,,,,,,,
ARCADIA,DESOTO,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.85657460,27.21601400,,,,,,,,,,,,,
ARCADIA,DESOTO,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.86102386,27.20692855,,,,,,,,,,,,,
CROSS CITY,DIXIE,,,,DISASTER RECOVERY CENTER-MOBILE,,,-83.12387812,29.63337070,,,,,,,,,,,,,
CROSS CITY,DIXIE,,,,DISASTER RECOVERY CENTER-MOBILE,,,-83.10676288,29.62766275,,,,,,,,,,,,,
CROSS CITY,DIXIE,,,,DISASTER RECOVERY CENTER-MOBILE,,,-83.09470658,29.61778774,,,,,,,,,,,,,
JACKSONVILLE,DUVAL,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.71213883,30.37166257,,,,,,,,,,,,,
JACKSONVILLE,DUVAL,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.65265155,30.30505373,,,,,,,,,,,,,
JACKSONVILLE,DUVAL,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.47453297,30.32270262,,,,,,,,,,,,,
JACKSONVILLE,DUVAL,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.72896711,30.39831453,,,,,,,,,,,,,
JACKSONVILLE,DUVAL,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.82539677,30.30258497,,,,,,,,,,,,,
JACKSONVILLE,DUVAL,,,,DISASTER RECOVERY CENTER-MOBILE,,,-81.71832864,30.30121997,,,,,,,,,,,,,
PENSACOLA,ESCAMBIA,,,,DISASTER RECOVERY CENTER-MOBILE,,,-87.27681181,30.44128066,,,,,,,,,,,,,
PENSACOLA,ESCAMBIA,,,,DISASTER RECOVERY CENTER-MOBILE,,,-87.22035310,30.44089188,,,,,,,,,,,,,
PENSACOLA,ESCAMBIA,,,,DISASTER RECOVERY CENTER-MOBILE,,,-87.31498444,30.43897423,,,,,,,,,,,,,
PENSACOLA,ESCAMBIA,,,,DISASTER RECOVERY CENTER-MOBILE,,,-87.29802471,30.40988469,,,,,,,,,,,,,
PENSACOLA,ESCAMBIA,,,,DISASTER RECOVERY CENTER-MOBILE,,,-87.27142322,30.55622822,,,,,,,,,,,,,
PENSACOLA,ESCAMBIA,,,,DISASTER RECOVERY CENTER-MOBILE,,,-87.17675753,30.51013568,,,,,,,,,,,,,
PENSACOLA,ESCAMBIA,,,,DISASTER RECOVERY CENTER-MOBILE,,,-87.24789039,30.42894889,,,,,,,,,,,,,
PENSACOLA,ESCAMBIA,,,,DISASTER RECOVERY CENTER-MOBILE,,,-87.27111020,30.39811287,,,,,,,,,,,,,
PENSACOLA,ESCAMBIA,,,,DISASTER RECOVERY CENTER-MOBILE,,,-87.30141838,30.48760002,,,,,,,,,,,,,
CENTURY,ESCAMBIA,,,,DISASTER RECOVERY CENTER-MOBILE,,,-87.25794333,30.97614733,,,,,,,,,,,,,
