CITY,COUNTY,FACILITY_TYPE,TTL_BEDS,hos_Longitude,hos_Latitude,hf_Longitude,hf_Latitude
LAUDERDALE LAKES,BROWARD,ASSISTED LIVING FACILITY,6.0,,,-80.19892085,26.15877325
LAUDERDALE LAKES,BROWARD,ASSISTED LIVING FACILITY,6.0,,,-80.20736251,26.17951519
CORAL SPRINGS,BROWARD,ASSISTED LIVING FACILITY,5.0,,,-80.29008388,26.27101115
CORAL SPRINGS,BROWARD,ASSISTED LIVING FACILITY,5.0,,,-80.24621102,26.24717397
POMPANO BEACH,BROWARD,ASSISTED LIVING FACILITY,125.0,,,-80.13084215,26.22711166
DEERFIELD BEACH,BROWARD,ASSISTED LIVING FACILITY,240.0,,,-80.13559647,26.30307866
DAVIE,BROWARD,ASSISTED LIVING FACILITY,6.0,,,-80.33375995,26.09150712
OAKLAND PARK,BROWARD,ASSISTED LIVING FACILITY,30.0,,,-80.14944006,26.18044412
HALLANDALE,BROWARD,ASSISTED LIVING FACILITY,6.0,,,-80.13947742,25.99617505
HALLANDALE,BROWARD,ASSISTED LIVING FACILITY,6.0,,,-80.15883187,25.97566678
HOLLYWOOD,BROWARD,ASSISTED LIVING FACILITY,50.0,,,-80.14465200,26.02739157
PEMBROKE PARK,BROWARD,ASSISTED LIVING FACILITY,120.0,,,-80.19386640,25.97794017
FORT LAUDERDALE,BROWARD,ASSISTED LIVING FACILITY,24.0,,,-80.17412150,26.19091048
PLANTATION,BROWARD,ASSISTED LIVING FACILITY,70.0,,,-80.26665784,26.14586536
DAVIE,BROWARD,ASSISTED LIVING FACILITY,19.0,,,-80.23135288,26.05196009
LAUDERDALE LAKES,BROWARD,ASSISTED LIVING FACILITY,90.0,,,-80.19349620,26.16370472
LAUDERHILL,BROWARD,ASSISTED LIVING FACILITY,14.0,,,-80.22968333,26.15073839
LAUDERHILL,BROWARD,ASSISTED LIVING FACILITY,14.0,,,-80.23082132,26.16087225
HOLLYWOOD,BROWARD,ASSISTED LIVING FACILITY,114.0,,,-80.13943151,26.02219356
POMPANO BEACH,BROWARD,ASSISTED LIVING FACILITY,42.0,,,-80.08916668,26.24727443
POMPANO BEACH,BROWARD,ASSISTED LIVING FACILITY,42.0,,,-80.13319543,26.22773341
HOLLYWOOD,BROWARD,ASSISTED LIVING FACILITY,115.0,,,-80.13173600,26.02227811
DANIA BEACH,BROWARD,ASSISTED LIVING FACILITY,8.0,,,-80.20139348,26.05818859
 ,BROWARD,ASSISTED LIVING FACILITY,52.0,,,-80.13789880,26.09861486
LAUDERHILL,BROWARD,ASSISTED LIVING FACILITY,16.0,,,-80.23029502,26.16135276
MARGATE,BROWARD,ASSISTED LIVING FACILITY,213.0,,,-80.20088230,26.24022530
FORT LAUDERDALE,BROWARD,ASSISTED LIVING FACILITY,4.0,,,-80.15873579,26.12709701
FORT LAUDERDALE,BROWARD,ASSISTED LIVING FACILITY,4.0,,,-80.16418293,26.10764910
CORAL SPRINGS,BROWARD,ASSISTED LIVING FACILITY,72.0,,,-80.24040928,26.25822773
PLANTATION,BROWARD,ASSISTED LIVING FACILITY,10.0,,,-80.21273081,26.12742715
FORT LAUDERDALE,BROWARD,ASSISTED LIVING FACILITY,14.0,,,-80.11995928,26.13444376
FORT LAUDERDALE,BROWARD,ASSISTED LIVING FACILITY,14.0,,,-80.20649144,26.15809627
HOLLYWOOD,BROWARD,ASSISTED LIVING FACILITY,4.0,,,-80.16107659,26.01330821
OAKLAND PARK,BROWARD,ASSISTED LIVING FACILITY,5.0,,,-80.12561377,26.18460134
DAVIE,BROWARD,ASSISTED LIVING FACILITY,4.0,,,-80.21665412,26.06876745
LAUDERDALE LAKES,BROWARD,ASSISTED LIVING FACILITY,8.0,,,-80.21388047,26.17444036
COOPER CITY,BROWARD,ASSISTED LIVING FACILITY,120.0,,,-80.26485336,26.03404722
TAMARAC,BROWARD,ASSISTED LIVING FACILITY,116.0,,,-80.24600164,26.20774835
WILTON MANORS,BROWARD,ASSISTED LIVING FACILITY,125.0,,,-80.12554400,26.15999759
FORT LAUDERDALE,BROWARD,ASSISTED LIVING FACILITY,50.0,,,-80.13634332,26.10922984
HOLLYWOOD,BROWARD,ASSISTED LIVING FACILITY,100.0,,,-80.20330302,26.04641849
MIRAMAR,BROWARD,ASSISTED LIVING FACILITY,7.0,,,-80.26384428,25.99185715
PLANTATION,BROWARD,ASSISTED LIVING FACILITY,29.0,,,-80.20104974,26.10712249
DAVIE,BROWARD,ASSISTED LIVING FACILITY,20.0,,,-80.23439346,26.06319831
DEERFIELD BEACH,BROWARD,ASSISTED LIVING FACILITY,68.0,,,-80.12895785,26.30195397
PLANTATION,BROWARD,ASSISTED LIVING FACILITY,5.0,,,-80.23497876,26.13079754
MARGATE,BROWARD,ASSISTED LIVING FACILITY,5.0,,,-80.19428114,26.22523665
MARGATE,BROWARD,ASSISTED LIVING FACILITY,5.0,,,-80.19379583,26.22145557
MARGATE,BROWARD,ASSISTED LIVING FACILITY,5.0,,,-80.19409428,26.21276994
MARGATE,BROWARD,ASSISTED LIVING FACILITY,5.0,,,-80.20901209,26.24981877
HOLLYWOOD,BROWARD,ASSISTED LIVING FACILITY,35.0,,,-80.14105232,25.99883396
HOLLYWOOD,BROWARD,ASSISTED LIVING FACILITY,35.0,,,-80.13867334,26.02545795
POMPANO BEACH,BROWARD,ASSISTED LIVING FACILITY,12.0,,,-80.10123770,26.23526755
WESTON,BROWARD,ASSISTED LIVING FACILITY,6.0,,,-80.40577666,26.11964255
POMPANO BEACH,BROWARD,ASSISTED LIVING FACILITY,30.0,,,-80.08853522,26.25152008
HOLLYWOOD,BROWARD,ASSISTED LIVING FACILITY,200.0,,,-80.17687308,26.03168735
LAUDERDALE LAKES,BROWARD,ASSISTED LIVING FACILITY,28.0,,,-80.18689809,26.17944179
DANIA BEACH,BROWARD,ASSISTED LIVING FACILITY,165.0,,,-80.14565713,26.04964745
OAKLAND PARK,BROWARD,ASSISTED LIVING FACILITY,21.0,,,-80.17186104,26.16171500
HOLLYWOOD,BROWARD,ASSISTED LIVING FACILITY,5.0,,,-80.20361773,25.97887300
POMPANO BEACH,BROWARD,ASSISTED LIVING FACILITY,15.0,,,-80.09118695,26.23892947
FORT LAUDERDALE,BROWARD,ASSISTED LIVING FACILITY,144.0,,,-80.19264016,26.16422201
DANIA BEACH,BROWARD,ASSISTED LIVING FACILITY,6.0,,,-80.13760459,26.04235699
DANIA BEACH,BROWARD,ASSISTED LIVING FACILITY,6.0,,,-80.20489089,26.06167410
PLANTATION,BROWARD,ASSISTED LIVING FACILITY,55.0,,,-80.26861859,26.12176559
SUNRISE,BROWARD,ASSISTED LIVING FACILITY,14.0,,,-80.27097581,26.17058472
MARGATE,BROWARD,ASSISTED LIVING FACILITY,120.0,,,-80.20674937,26.24293522
COOPER CITY,BROWARD,ASSISTED LIVING FACILITY,6.0,,,-80.27021312,26.05600610
WILTON MANORS,BROWARD,ASSISTED LIVING FACILITY,10.0,,,-80.13853237,26.15706830
HOLLYWOOD,BROWARD,ASSISTED LIVING FACILITY,15.0,,,-80.21227658,26.02185542
DEERFIELD BEACH,BROWARD,ASSISTED LIVING FACILITY,60.0,,,-80.14458265,26.32105285
FORT LAUDERDALE,BROWARD,ASSISTED LIVING FACILITY,47.0,,,-80.16210142,26.15452034
HALLANDALE BEACH,BROWARD,ASSISTED LIVING FACILITY,95.0,,,-80.12071180,25.97730438
FORT LAUDERDALE,BROWARD,ASSISTED LIVING FACILITY,13.0,,,-80.20062385,26.11773401
FORT LAUDERDALE,BROWARD,ASSISTED LIVING FACILITY,13.0,,,-80.17857170,26.11271850
HOLLYWOOD,BROWARD,ASSISTED LIVING FACILITY,118.0,,,-80.18237273,26.00777816
COCONUT CREEK,BROWARD,ASSISTED LIVING FACILITY,5.0,,,-80.18085774,26.30099749
HALLANDALE,BROWARD,ASSISTED LIVING FACILITY,8.0,,,-80.15041663,25.99176438
WILTON MANORS,BROWARD,ASSISTED LIVING FACILITY,80.0,,,-80.12216871,26.15950701
Pompano Beach,BROWARD,ASSISTED LIVING FACILITY,75.0,,,-80.13495182,26.21954721
MARGATE,BROWARD,ASSISTED LIVING FACILITY,35.0,,,-80.20626032,26.24024476
POMPANO BEACH,BROWARD,ASSISTED LIVING FACILITY,80.0,,,-80.13247040,26.22690545
TAMARAC,BROWARD,ASSISTED LIVING FACILITY,72.0,,,-80.27081962,26.19532004
CORAL SPRINGS,BROWARD,ASSISTED LIVING FACILITY,120.0,,,-80.25767769,26.26783601
FORT LAUDERDALE,BROWARD,ASSISTED LIVING FACILITY,139.0,,,-80.10500925,26.16771755
SOUTHWEST RANCHES,BROWARD,ASSISTED LIVING FACILITY,8.0,,,-80.39533696,26.04928657
LAUDERHILL,BROWARD,ASSISTED LIVING FACILITY,70.0,,,-80.22751322,26.16122258
LAUDERHILL,BROWARD,ASSISTED LIVING FACILITY,105.0,,,-80.22381894,26.16285696
OAKLAND PARK,BROWARD,AMBULATORY SURGICAL CENTER,50.0,,,-80.13436722,26.19700878
MIRAMAR,BROWARD,AMBULATORY SURGICAL CENTER,20.0,,,-80.34208432,25.98258980
HOLLYWOOD,BROWARD,AMBULATORY SURGICAL CENTER,18.0,,,-80.18956649,26.03139973
DAVIE,BROWARD,AMBULATORY SURGICAL CENTER,2.0,,,-80.31638200,26.06422200
OAKLAND PARK,BROWARD,AMBULATORY SURGICAL CENTER,0.0,,,-80.13246700,26.19246400
CORAL SPRINGS,BROWARD,AMBULATORY SURGICAL CENTER,0.0,,,-80.25334600,26.24894600
CORAL SPRINGS,BROWARD,AMBULATORY SURGICAL CENTER,0.0,,,-80.25408800,26.26823300
CORAL SPRINGS,BROWARD,AMBULATORY SURGICAL CENTER,0.0,,,-80.25356400,26.24295500
PLANTATION,BROWARD,AMBULATORY SURGICAL CENTER,0.0,,,-80.20383761,26.12868238
PLANTATION,BROWARD,AMBULATORY SURGICAL CENTER,0.0,,,-80.26481791,26.12236615
CORAL SPRINGS,BROWARD,AMBULATORY SURGICAL CENTER,25.0,,,-80.25306800,26.25244800
TM,BROWARD,AMBULATORY SURGICAL CENTER,20.0,,,-80.25305412,26.21400069
HOLLYWOOD,BROWARD,AMBULATORY SURGICAL CENTER,,,,-80.17864171,26.02116955
HOLLYWOOD,BROWARD,AMBULATORY SURGICAL CENTER,,,,-80.23385200,26.03149600
DEERFIELD BEACH,BROWARD,AMBULATORY SURGICAL CENTER,0.0,,,-80.11159711,26.31544701
SN,BROWARD,AMBULATORY SURGICAL CENTER,,,,-80.26820009,26.17086202
LAUDERHILL,BROWARD,BLOOD BANK,0.0,,,-80.20034000,26.15014800
LAUDERHILL,BROWARD,ASSISTED LIVING FACILITY,62.0,,,-80.22981950,26.16196014
TAMARAC,BROWARD,ASSISTED LIVING FACILITY,8.0,,,-80.26030368,26.22819710
FORT LAUDERDALE,BROWARD,ASSISTED LIVING FACILITY,81.0,,,-80.13879752,26.10694968
DEERFIELD BEACH,BROWARD,ASSISTED LIVING FACILITY,130.0,,,-80.15884801,26.31843457
POMPANO BEACH,BROWARD,ASSISTED LIVING FACILITY,60.0,,,-80.08672876,26.25265747
DEERFIELD BEACH,BROWARD,ASSISTED LIVING FACILITY,168.0,,,-80.13701123,26.31875205
POMPANO BEACH,BROWARD,ASSISTED LIVING FACILITY,55.0,,,-80.13357277,26.22767644
FORT LAUDERDALE,BROWARD,ASSISTED LIVING FACILITY,12.0,,,-80.11232206,26.14451543
LAUDERHILL,BROWARD,ASSISTED LIVING FACILITY,5.0,,,-80.25952451,26.18358600
MIRAMAR,BROWARD,ASSISTED LIVING FACILITY,10.0,,,-80.21343358,25.98536409
FORT LAUDERDALE,BROWARD,ASSISTED LIVING FACILITY,180.0,,,-80.18218325,26.18849915
POMPANO BEACH,BROWARD,ASSISTED LIVING FACILITY,38.0,,,-80.12217356,26.23813552
OAKLAND PARK,BROWARD,ASSISTED LIVING FACILITY,100.0,,,-80.17402664,26.16324189
FORT LAUDERDALE,BROWARD,ASSISTED LIVING FACILITY,33.0,,,-80.16090656,26.15313387
POMPANO BEACH,BROWARD,ASSISTED LIVING FACILITY,33.0,,,-80.09220464,26.22844085
FORT LAUDERDALE,BROWARD,ASSISTED LIVING FACILITY,34.0,,,-80.12138232,26.19028467
HOLLYWOOD,BROWARD,ASSISTED LIVING FACILITY,57.0,,,-80.16199689,26.01810607
TAMARAC,BROWARD,ASSISTED LIVING FACILITY,103.0,,,-80.25191447,26.21668112
LAUDERHILL,BROWARD,ASSISTED LIVING FACILITY,12.0,,,-80.23056652,26.15167528
HOLLYWOOD,BROWARD,ASSISTED LIVING FACILITY,7.0,,,-80.19029069,26.02943952
DANIA BEACH,BROWARD,ASSISTED LIVING FACILITY,14.0,,,-80.18724011,26.06511734
COCONUT CREEK,BROWARD,ASSISTED LIVING FACILITY,104.0,,,-80.18145192,26.27463337
SUNRISE,BROWARD,ASSISTED LIVING FACILITY,110.0,,,-80.26866299,26.17143455
HOLLYWOOD,BROWARD,ASSISTED LIVING FACILITY,40.0,,,-80.14742895,26.03284990
HOLLYWOOD,BROWARD,ASSISTED LIVING FACILITY,19.0,,,-80.14614512,26.01769800
WESTON,BROWARD,ASSISTED LIVING FACILITY,8.0,,,-80.37869388,26.11318986
LAUDERHILL,BROWARD,ASSISTED LIVING FACILITY,24.0,,,-80.22996441,26.16070684
COOPER CITY,BROWARD,ASSISTED LIVING FACILITY,12.0,,,-80.27954349,26.04332533
LAUDERHILL,BROWARD,ASSISTED LIVING FACILITY,120.0,,,-80.22139514,26.17733176
TAMARAC,BROWARD,ASSISTED LIVING FACILITY,12.0,,,-80.25708426,26.19708162
HALLANDALE BEACH,BROWARD,ASSISTED LIVING FACILITY,6.0,,,-80.18369654,25.98979527
POMPANO BEACH,BROWARD,ASSISTED LIVING FACILITY,64.0,,,-80.13476102,26.22404637
HOLLYWOOD,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.18000755,26.01891635
HOLLYWOOD,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.35904968,25.98483840
HOLLYWOOD,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.18783018,26.01086445
HOLLYWOOD,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.16154292,26.03778292
HOLLYWOOD,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.18381491,26.01054783
HOLLYWOOD,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.16130919,26.01139144
PLANTATION,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.19985256,26.12212565
PLANTATION,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.28920425,26.13397521
PLANTATION,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.24175269,26.12417004
PLANTATION,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.27032002,26.14827682
POMPANO BEACH,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.13514491,26.22549044
LAUDERHILL,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.24528219,26.16622413
TAMARAC,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.27056223,26.20968946
TAMARAC,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.24746385,26.20772267
MARGATE,BROWARD,END-STAGE RENAL DISEASE,16.0,,,-80.19984755,26.25891253
COOPER CITY,BROWARD,CRISIS STABILIZATION UNIT,10.0,,,-80.28781100,26.04575100
FORT LAUDERDALE,BROWARD,CRISIS STABILIZATION UNIT,23.0,,,-80.17828418,26.15141866
PEMBROKE PINES,BROWARD,CRISIS STABILIZATION UNIT,28.0,,,-80.25311300,25.99753200
HALLANDALE,BROWARD,BIRTH CENTER,0.0,,,-80.16636200,25.98507800
DAVIE,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.21106774,26.05691848
DAVIE,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.24805002,26.03679135
DAVIE,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.25236405,26.08311000
DAVIE,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.30345295,26.11003979
FORT LAUDERDALE,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.10755723,26.20501951
FORT LAUDERDALE,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.14338320,26.10588705
FORT LAUDERDALE,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.11737340,26.18796224
FORT LAUDERDALE,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.11969743,26.14669998
CORAL SPRINGS,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.22580091,26.27254007
CORAL SPRINGS,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.24354356,26.24272238
OAKLAND PARK,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.13536450,26.16701805
OAKLAND PARK,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.13053682,26.18936795
DEERFIELD BEACH,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.11278609,26.31535160
DEERFIELD BEACH,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.13096530,26.31850314
DANIA BEACH,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.13813618,26.05108838
PEMBROKE PINES,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.38670126,26.00939826
PEMBROKE PINES,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.30880924,25.99447828
PEMBROKE PINES,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.24366153,26.01698158
PEMBROKE PINES,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.31188200,26.01221600
PEMBROKE PINES,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.27854892,26.00888669
COCONUT CREEK,BROWARD,AMBULATORY SURGICAL CENTER,0.0,,,-80.20222200,26.31427000
WESTON,BROWARD,AMBULATORY SURGICAL CENTER,30.0,,,-80.36731377,26.09208645
PEMBROKE PINES,BROWARD,AMBULATORY SURGICAL CENTER,55.0,,,-80.31118912,26.01137485
LAUDERDALE LAKES,BROWARD,AMBULATORY SURGICAL CENTER,22.0,,,-80.20421126,26.18225703
PLANTATION,BROWARD,AMBULATORY SURGICAL CENTER,,,,-80.25942494,26.12566288
POMPANO BEACH,BROWARD,AMBULATORY SURGICAL CENTER,10.0,,,-80.12375802,26.27560940
FORT LAUDERDALE,BROWARD,AMBULATORY SURGICAL CENTER,4.0,,,-80.11301812,26.13564470
SUNRISE,BROWARD,AMBULATORY SURGICAL CENTER,,,,-80.26824454,26.17088125
HOLLYWOOD,BROWARD,BIRTH CENTER,0.0,,,-80.15362100,26.01122300
COOPER CITY,BROWARD,AMBULATORY SURGICAL CENTER,14.0,,,-80.29388213,26.03030853
WESTON,BROWARD,AMBULATORY SURGICAL CENTER,0.0,,,-80.36783531,26.09156325
HALLANDALE,BROWARD,AMBULATORY SURGICAL CENTER,20.0,,,-80.14498136,25.98532059
WESTON,BROWARD,AMBULATORY SURGICAL CENTER,,,,-80.36535470,26.08224781
HOLLYWOOD,BROWARD,AMBULATORY SURGICAL CENTER,9.0,,,-80.17897364,26.03349211
POMPANO BEACH,BROWARD,AMBULATORY SURGICAL CENTER,7.0,,,-80.13921800,26.22947200
DAVIE,BROWARD,INTERMEDIATE CARE FACILITY,6.0,,,-80.25938936,26.05132907
LAUDERHILL,BROWARD,INTERMEDIATE CARE FACILITY,,,,-80.26309686,26.18920680
COOPER CITY,BROWARD,INTERMEDIATE CARE FACILITY,6.0,,,-80.28308900,26.05168378
FORT LAUDERDALE,BROWARD,INTERMEDIATE CARE FACILITY,0.0,,,-80.28632191,26.18847870
PEMBROKE PINES,BROWARD,INTERMEDIATE CARE FACILITY,24.0,,,-80.26033970,26.00262615
FORT LAUDERDALE,BROWARD,INTERMEDIATE CARE FACILITY,48.0,,,-80.20675754,26.10115966
SOUTHWEST RANCHES,BROWARD,INTERMEDIATE CARE FACILITY,8.0,,,-80.32845932,26.03083365
DAVIE,BROWARD,INTERMEDIATE CARE FACILITY,36.0,,,-80.24636128,26.08775246
POMPANO BEACH,BROWARD,INTERMEDIATE CARE FACILITY,24.0,,,-80.12132452,26.24115223
FORT LAUDERDALE,BROWARD,INTERMEDIATE CARE FACILITY,12.0,,,-80.13942176,26.12638904
FORT LAUDERDALE,BROWARD,RESIDENTIAL TREATMENT FACILITY,37.0,,,-80.41957500,26.05630300
COOPER CITY,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.29388213,26.03030853
WESTON,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.37316432,26.08595007
HALLANDALE BEACH,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.14892332,25.97470383
MARGATE,BROWARD,END-STAGE RENAL DISEASE,0.0,,,-80.20098272,26.26109961
SUNRISE,BROWARD,RESIDENTIAL TREATMENT FACILITY,6.0,,,-80.23362100,26.13869300
LAUDERHILL,BROWARD,RESIDENTIAL TREATMENT FACILITY,16.0,,,-80.22852786,26.16073209
FORT LAUDERDALE,BROWARD,RESIDENTIAL TREATMENT FACILITY,14.0,,,-80.13862200,26.13999900
COCONUT CREEK,BROWARD,RESIDENTIAL TREATMENT FACILITY,40.0,,,-80.19036100,26.32626100
HOLLYWOOD,BROWARD,RESIDENTIAL TREATMENT FACILITY,22.0,,,-80.28796000,26.03178100
LAUDERHILL,BROWARD,RESIDENTIAL TREATMENT FACILITY,15.0,,,-80.22948690,26.16072753
FORT LAUDERDALE,BROWARD,RESIDENTIAL TREATMENT FACILITY,28.0,,,-80.12520100,26.13912400
FORT LAUDERDALE,BROWARD,RESIDENTIAL TREATMENT FACILITY,8.0,,,-80.36595100,26.05656200
FORT LAUDERDALE,BROWARD,RESIDENTIAL TREATMENT FACILITY,6.0,,,-80.15537300,26.15956000
FORT LAUDERDALE,BROWARD,RESIDENTIAL TREATMENT FACILITY,6.0,,,-80.18795100,26.11451100
POMPANO BEACH,BROWARD,RESIDENTIAL TREATMENT FACILITY,9.0,,,-80.12574100,26.21927100
HOLLYWOOD,BROWARD,RESIDENTIAL TREATMENT FACILITY,61.0,,,-80.20712200,26.02314800
FORT LAUDERDALE,BROWARD,RESIDENTIAL TREATMENT FACILITY,16.0,,,-80.13952100,26.14026200
PEMBROKE PINES,BROWARD,RESIDENTIAL TREATMENT FACILITY,56.0,,,-80.25333200,25.99741700
OAKLAND PARK,BROWARD,RESIDENTIAL TREATMENT FACILITY,16.0,,,-80.14460200,26.17692800
POMPANO BEACH,BROWARD,RESIDENTIAL TREATMENT FACILITY,20.0,,,-80.13506100,26.21683300
WESTON,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.41535515,26.10729900
WESTON,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.37869388,26.11318986
FORT LAUDERDALE,BROWARD,ADULT FAMILY CARE HOME,4.0,,,-80.19875497,26.11656329
FORT LAUDERDALE,BROWARD,ADULT FAMILY CARE HOME,4.0,,,-80.18432132,26.11610607
FORT LAUDERDALE,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.19470995,26.12007466
FORT LAUDERDALE,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.24895556,26.14426659
FORT LAUDERDALE,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.22614777,26.13498604
FORT LAUDERDALE,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.19750879,26.11789239
HOLLYWOOD,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.19240527,26.00481169
HOLLYWOOD,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.17807010,25.97576554
HOLLYWOOD,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.20271431,26.01656002
HOLLYWOOD,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.23455674,26.03749933
HOLLYWOOD,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.19345581,26.00913654
HOLLYWOOD,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.19658516,26.00525131
CORAL SPRINGS,BROWARD,ADULT FAMILY CARE HOME,60.0,,,-80.24418971,26.24161099
PEMBROKE PINES,BROWARD,ADULT FAMILY CARE HOME,150.0,,,-80.28276447,26.01089578
POMPANO BEACH,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.12629157,26.24441945
COCONUT CREEK,BROWARD,ADULT FAMILY CARE HOME,4.0,,,-80.18259167,26.28244785
COCONUT CREEK,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.18734630,26.29326711
COCONUT CREEK,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.17656074,26.29861219
PEMBROKE PINES,BROWARD,ADULT FAMILY CARE HOME,,,,-80.30861082,25.99536550
SUNRISE,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.30666886,26.16963279
SUNRISE,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.24267377,26.15139331
SUNRISE,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.24240698,26.15850749
MARGATE,BROWARD,ADULT FAMILY CARE HOME,50.0,,,-80.22396665,26.23400568
POMPANO BEACH,BROWARD,ADULT FAMILY CARE HOME,65.0,,,-80.16601053,26.23700746
HALLANDALE BEACH,BROWARD,ADULT FAMILY CARE HOME,48.0,,,-80.13060312,25.98481619
PLANTATION,BROWARD,ADULT FAMILY CARE HOME,4.0,,,-80.22859381,26.12942736
MARGATE,BROWARD,ADULT FAMILY CARE HOME,90.0,,,-80.20684929,26.24097924
WILTON MANORS,BROWARD,ADULT FAMILY CARE HOME,,,,-80.14114043,26.16621115
LAUDERDALE LAKES,BROWARD,ADULT FAMILY CARE HOME,30.0,,,-80.20693607,26.17057119
MIRAMAR,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.39301550,25.95726591
MIRAMAR,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.23256334,25.98833265
MIRAMAR,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.23542674,25.97494378
FORT LAUDERDALE,BROWARD,ADULT FAMILY CARE HOME,65.0,,,-80.25852912,26.15147008
HOLLYWOOD,BROWARD,SKILLED NURSING FACILITY,151.0,,,-80.18015354,26.02115382
MIRAMAR,BROWARD,SKILLED NURSING FACILITY,120.0,,,-80.35844707,25.96850779
HOLLYWOOD,BROWARD,ADULT FAMILY CARE HOME,47.0,,,-80.16994069,26.02649841
POMPANO BEACH,BROWARD,ADULT FAMILY CARE HOME,52.0,,,-80.11177433,26.27263316
MIRAMAR,BROWARD,ADULT FAMILY CARE HOME,,,,-80.28613496,25.98334644
MIRAMAR,BROWARD,ADULT FAMILY CARE HOME,,,,-80.26646664,25.98148880
HALLANDALE BEACH,BROWARD,ADULT FAMILY CARE HOME,,,,-80.13563360,25.98534988
HALLANDALE BEACH,BROWARD,ADULT FAMILY CARE HOME,,,,-80.13123367,25.98484123
MARGATE,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.20909310,26.22786999
LAUDERHILL,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.26683609,26.18798675
FORT LAUDERDALE,BROWARD,SKILLED NURSING FACILITY,169.0,,,-80.11783474,26.18878593
PLANTATION,BROWARD,SKILLED NURSING FACILITY,60.0,,,-80.26861859,26.12176559
PLANTATION,BROWARD,SKILLED NURSING FACILITY,152.0,,,-80.20569183,26.12775492
DAVIE,BROWARD,ADULT FAMILY CARE HOME,112.0,,,-80.23711305,26.04652309
PEMBROKE PINES,BROWARD,ADULT FAMILY CARE HOME,5.0,,,-80.35861755,25.99360758
FORT LAUDERDALE,BROWARD,ADULT FAMILY CARE HOME,50.0,,,-80.17617921,26.10701759
COCONUT CREEK,BROWARD,ADULT FAMILY CARE HOME,50.0,,,-80.18931419,26.31678318
